1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
161	159.997	616424.73	3097693.149	632.482	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4782493	635.7061214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.125652658	21.45339382	1.594893084	2.374915616	636.6076527	636.8951259	0.000681036	0.373308044	56.58917716	0.000993035	1	4.125652658	636.6076527	636.8951259			0	0	0	0	0.373308044	Subcritical	0.000681036
162	160.997	616423.731	3097693.102	632.4815	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4777493	635.7056214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.126522339	21.45791616	1.595023036	2.374415093	636.6080223	636.8953744	0.000680675	0.373190036	56.60523718	0.000868214	1	4.126522339	636.6080223	636.8953744			0	0	0	0	0.373190036	Subcritical	0.000680675
163	161.997	616422.732	3097693.054	632.481	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4772493	635.7051214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.127284298	21.46187835	1.595136863	2.37397674	636.6082843	636.8955302	0.000680359	0.373086696	56.61931208	0.000878302	1	4.127284298	636.6082843	636.8955302			0	0	0	0	0.373086696	Subcritical	0.000680359
164	162.997	616421.733	3097693.006	632.4805	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4767493	635.7046214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.128027502	21.46574301	1.595247865	2.373549333	636.6085275	636.89567	0.000680051	0.372985946	56.63304425	0.000888182	1	4.128027502	636.6085275	636.89567			0	0	0	0	0.372985946	Subcritical	0.000680051
165	163.997	616420.734	3097692.959	632.48	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4762493	635.7041214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.128780371	21.46965793	1.595360284	2.373116524	636.6087804	636.8958182	0.000679739	0.372883932	56.64695876	0.00089819	1	4.128780371	636.6087804	636.8958182			0	0	0	0	0.372883932	Subcritical	0.000679739
166	164.996	616419.736	3097692.911	632.4795	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4757493	635.7036214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.129545395	21.47363606	1.595474493	2.372676889	636.6090454	636.8959769	0.000679422	0.372780318	56.66110176	0.000908356	1	4.129545395	636.6090454	636.8959769			0	0	0	0	0.372780318	Subcritical	0.000679422
167	165.997	616418.737	3097692.864	632.479	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4752493	635.7031214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.130322083	21.47767483	1.595590417	2.372230718	636.6093221	636.8961457	0.000679101	0.372675173	56.67546438	0.000918722	1	4.130322083	636.6093221	636.8961457			0	0	0	0	0.372675173	Subcritical	0.000679101
168	166.997	616417.738	3097692.816	632.4785	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4747493	635.7026214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.131141516	21.48193588	1.595712691	2.371760175	636.6096415	636.8963513	0.000678762	0.372564296	56.69062177	0.000929553	1	4.131141516	636.6096415	636.8963513			0	0	0	0	0.372564296	Subcritical	0.000678762
169	167.997	616416.739	3097692.768	632.478	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4742493	635.7021214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.131943096	21.4861041	1.595832273	2.371300063	636.6099431	636.8965417	0.000678431	0.372455887	56.70545326	0.000940192	1	4.131943096	636.6099431	636.8965417			0	0	0	0	0.372455887	Subcritical	0.000678431
170	168.997	616415.74	3097692.721	632.4775	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4737493	635.7016214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.132756789	21.4903353	1.595953632	2.370833181	636.6102568	636.8967425	0.000678095	0.372345894	56.72051324	0.000950987	1	4.132756789	636.6102568	636.8967425			0	0	0	0	0.372345894	Subcritical	0.000678095
171	169.997	616414.741	3097692.673	632.477	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4732493	635.7011214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.133582772	21.49463041	1.596076795	2.370359435	636.6105828	636.896954	0.000677755	0.372234295	56.73580518	0.000961939	1	4.133582772	636.6105828	636.896954			0	0	0	0	0.372234295	Subcritical	0.000677755
172	170.997	616413.742	3097692.626	632.4765	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4727493	635.7006214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.134419635	21.4989821	1.596201549	2.369879642	636.6109196	636.897175	0.00067741	0.372121283	56.75130316	0.000973085	1	4.134419635	636.6109196	636.897175			0	0	0	0	0.372121283	Subcritical	0.00067741
173	171.996	616412.744	3097692.578	632.476	5.2	0	Normal	0.003	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4722493	635.7001214	0.004609515	1.109134404	35.85287311	-0.004111045	0	4.135300051	21.50356026	1.596332762	2.369375088	636.6113001	636.8974335	0.000677047	0.372002451	56.76761274	0.000984702	1	4.135300051	636.6113001	636.8974335			0	0	0	0	0.372002451	Subcritical	0.000677047
174	172.997	616411.745	3097692.53	632.4755	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4717493	635.6996214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.136163654	21.508051	1.596461436	2.368880378	636.6116637	636.8976776	0.000676692	0.371885949	56.78361587	0.000996091	1	4.136163654	636.6116637	636.8976776			0	0	0	0	0.371885949	Subcritical	0.000676692
175	173.997	616410.746	3097692.483	632.475	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4712493	635.6991214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.137040968	21.51261303	1.596592119	2.368378027	636.612041	636.8979337	0.000676331	0.371767661	56.79987811	0.000869464	1	4.137040968	636.612041	636.8979337			0	0	0	0	0.371767661	Subcritical	0.000676331
176	174.997	616409.747	3097692.435	632.4745	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4707493	635.6986214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.137808494	21.51660417	1.596706421	2.367938714	636.6123085	636.8980951	0.000676016	0.371664226	56.8141095	0.000878172	1	4.137808494	636.6123085	636.8980951			0	0	0	0	0.371664226	Subcritical	0.000676016
177	175.997	616408.748	3097692.387	632.474	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4702493	635.6981214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.138555905	21.52049071	1.596817702	2.367511071	636.6125559	636.8982393	0.000675709	0.371563548	56.82797166	0.000886696	1	4.138555905	636.6125559	636.8982393			0	0	0	0	0.371563548	Subcritical	0.000675709
178	176.997	616407.749	3097692.34	632.4735	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4697493	635.6976214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.139313061	21.52442792	1.596930408	2.36707801	636.6128131	636.898392	0.000675398	0.371461605	56.84201832	0.000895328	1	4.139313061	636.6128131	636.898392			0	0	0	0	0.371461605	Subcritical	0.000675398
179	177.997	616406.75	3097692.292	632.473	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4692493	635.6971214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.140080083	21.52841643	1.597044558	2.366639468	636.6130801	636.8985532	0.000675083	0.37135838	56.85625192	0.000904066	1	4.140080083	636.6130801	636.8985532			0	0	0	0	0.37135838	Subcritical	0.000675083
180	178.997	616405.751	3097692.245	632.4725	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4687493	635.6966214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.140855512	21.53244866	1.597159932	2.366196283	636.6133555	636.8987217	0.000674765	0.371254072	56.87064549	0.00091295	1	4.140855512	636.6133555	636.8987217			0	0	0	0	0.371254072	Subcritical	0.000674765
181	179.996	616404.753	3097692.197	632.472	5.2	0	Normal	0.003	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4682493	635.6961214	0.004609515	1.109134404	35.85287311	-0.004111045	0	4.14167185	21.53669362	1.597281364	2.365729898	636.6136718	636.8989256	0.000674431	0.371144314	56.88580271	0.000922197	1	4.14167185	636.6136718	636.8989256			0	0	0	0	0.371144314	Subcritical	0.000674431
182	180.997	616403.754	3097692.149	632.4715	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4677493	635.6956214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.142468831	21.54083792	1.597399889	2.365274749	636.6139688	636.8991128	0.000674105	0.371037211	56.9006048	0.000931269	1	4.142468831	636.6139688	636.8991128			0	0	0	0	0.371037211	Subcritical	0.000674105
183	181.997	616402.755	3097692.102	632.471	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4672493	635.6951214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.143276923	21.54504	1.597520037	2.364813433	636.6142769	636.8993097	0.000673774	0.370928667	56.91561756	0.000940516	1	4.143276923	636.6142769	636.8993097			0	0	0	0	0.370928667	Subcritical	0.000673774
184	182.997	616401.756	3097692.054	632.4705	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4667493	635.6946214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.144125545	21.54945283	1.59764618	2.364329173	636.6146255	636.8995416	0.000673428	0.370814737	56.93138793	0.000950116	1	4.144125545	636.6146255	636.8995416			0	0	0	0	0.370814737	Subcritical	0.000673428
185	183.997	616400.757	3097692.006	632.47	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4662493	635.6941214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.144955164	21.55376686	1.597769468	2.363855949	636.6149552	636.8997571	0.000673089	0.370703414	56.94680979	0.000959548	1	4.144955164	636.6149552	636.8997571			0	0	0	0	0.370703414	Subcritical	0.000673089
186	184.997	616399.758	3097691.959	632.4695	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4657493	635.6936214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.145795555	21.55813689	1.597894326	2.363376774	636.6152956	636.8999821	0.000672746	0.370590702	56.96243653	0.0009691	1	4.145795555	636.6152956	636.8999821			0	0	0	0	0.370590702	Subcritical	0.000672746
187	185.997	616398.759	3097691.911	632.469	5.2	0	Normal	0.055	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4652493	635.6931214	0.004609515	1.109134404	35.85287311	-0.00422207	0	4.146647903	21.56256909	1.598020929	2.362890979	636.6156479	636.9002174	0.000672398	0.370476445	56.97829038	0.000978783	1	4.146647903	636.6156479	636.9002174			0	0	0	0	0.370476445	Subcritical	0.000672398
188	186.996	616397.761	3097691.864	632.4685	5.2	0	Normal	0.055	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4647493	635.6926214	0.004609515	1.109134404	35.85287311	-0.004217461	0	4.147512049	21.56706265	1.598149251	2.362398664	636.616012	636.900463	0.000672046	0.370360666	56.9943686	0.000988646	1	4.147512049	636.616012	636.900463			0	0	0	0	0.370360666	Subcritical	0.000672046
189	187.997	616396.762	3097691.816	632.468	5.2	0	Normal	0	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4642493	635.6921214	0.004609515	1.109134404	35.85287311	-0.004114125	0	4.148414812	21.57175702	1.598283273	2.361884567	636.6164148	636.900742	0.000671679	0.370239778	57.01117063	0.000998795	1	4.148414812	636.6164148	636.900742			0	0	0	0	0.370239778	Subcritical	0.000671679
190	188.997	616395.763	3097691.768	632.4675	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4637493	635.6916214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.149300009	21.57636005	1.598414652	2.361380691	636.6168	636.9010059	0.000671318	0.370121306	57.02765094	0.000870509	1	4.149300009	636.6168	636.9010059			0	0	0	0	0.370121306	Subcritical	0.000671318
191	189.997	616394.764	3097691.721	632.467	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4632493	635.6911214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.150043641	21.58022693	1.598524993	2.360957563	636.6170436	636.9011476	0.000671016	0.370021829	57.04149966	0.000877778	1	4.150043641	636.6170436	636.9011476			0	0	0	0	0.370021829	Subcritical	0.000671016
192	190.997	616393.765	3097691.673	632.4665	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4627493	635.6906214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.150795617	21.58413721	1.598636548	2.360529842	636.6172956	636.9012967	0.000670711	0.369921281	57.0555075	0.000885126	1	4.150795617	636.6172956	636.9012967			0	0	0	0	0.369921281	Subcritical	0.000670711
193	191.997	616392.766	3097691.626	632.466	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4622493	635.6901214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.151556026	21.58809134	1.598749329	2.360097482	636.617556	636.9014531	0.000670402	0.369819653	57.06967624	0.000892602	1	4.151556026	636.617556	636.9014531			0	0	0	0	0.369819653	Subcritical	0.000670402
194	192.997	616391.767	3097691.578	632.4655	5.2	0	Normal	0.003	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4617493	635.6896214	0.004609515	1.109134404	35.85287311	-0.004115655	0	4.152353272	21.59223702	1.598867546	2.359644346	636.6178533	636.9016413	0.000670078	0.36971315	57.08453547	0.000900336	1	4.152353272	636.6178533	636.9016413			0	0	0	0	0.36971315	Subcritical	0.000670078
195	193.996	616390.769	3097691.53	632.465	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4612493	635.6891214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.153130305	21.59627759	1.598982739	2.359202867	636.6181303	636.9018122	0.000669763	0.369609398	57.09902202	0.000907922	1	4.153130305	636.6181303	636.9018122			0	0	0	0	0.369609398	Subcritical	0.000669763
196	194.996	616389.77	3097691.483	632.4645	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4607493	635.6886214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.15391687	21.60036772	1.599099318	2.35875614	636.6184169	636.9019913	0.000669445	0.369504422	57.11369034	0.000915647	1	4.15391687	636.6184169	636.9019913			0	0	0	0	0.369504422	Subcritical	0.000669445
197	195.997	616388.771	3097691.435	632.464	5.2	0	Normal	0	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4602493	635.6881214	0.004609515	1.109134404	35.85287311	-0.004114125	0	4.154741344	21.60465499	1.599221487	2.358288064	636.6187413	636.9022033	0.000669111	0.369394439	57.12907002	0.000923636	1	4.154741344	636.6187413	636.9022033			0	0	0	0	0.369394439	Subcritical	0.000669111
198	196.997	616387.772	3097691.387	632.4635	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4597493	635.6876214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.155545933	21.60883885	1.59934068	2.357831457	636.6190459	636.9023981	0.000668785	0.369287162	57.14408309	0.00093148	1	4.155545933	636.6190459	636.9023981			0	0	0	0	0.369287162	Subcritical	0.000668785
199	197.997	616386.773	3097691.34	632.463	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4592493	635.6871214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.156359516	21.61306948	1.599461177	2.357369926	636.6193595	636.9026007	0.000668456	0.369178739	57.15926835	0.000939407	1	4.156359516	636.6193595	636.9026007			0	0	0	0	0.369178739	Subcritical	0.000668456
200	198.997	616385.774	3097691.292	632.4625	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4587493	635.6866214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.157182189	21.61734738	1.59958299	2.356903421	636.6196822	636.9028113	0.000668124	0.369069158	57.17462772	0.00094742	1	4.157182189	636.6196822	636.9028113			0	0	0	0	0.369069158	Subcritical	0.000668124
201	199.997	616384.775	3097691.245	632.462	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4582493	635.6861214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.158014048	21.62167305	1.599706134	2.356431895	636.620014	636.9030299	0.000667788	0.368958409	57.19016316	0.000955571	1	4.158014048	636.620014	636.9030299			0	0	0	0	0.368958409	Subcritical	0.000667788
202	200.997	616383.776	3097691.197	632.4615	5.2	0	Normal	0.003	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4577493	635.6856214	0.004609515	1.109134404	35.85287311	-0.004115655	0	4.158883408	21.62619372	1.599834796	2.355939314	636.6203834	636.903281	0.000667437	0.368842726	57.20640382	0.000963978	1	4.158883408	636.6203834	636.903281			0	0	0	0	0.368842726	Subcritical	0.000667437
203	201.996	616382.778	3097691.149	632.461	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4572493	635.6851214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.15973342	21.63061378	1.599960564	2.355457895	636.6207334	636.9035154	0.000667095	0.368729676	57.22228789	0.000972248	1	4.15973342	636.6207334	636.9035154			0	0	0	0	0.368729676	Subcritical	0.000667095
204	202.997	616381.779	3097691.102	632.4605	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4567493	635.6846214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.160592998	21.63508359	1.600087714	2.354971257	636.621093	636.9037581	0.000666748	0.368615413	57.23835558	0.000980662	1	4.160592998	636.621093	636.9037581			0	0	0	0	0.368615413	Subcritical	0.000666748
205	203.997	616380.78	3097691.054	632.46	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4562493	635.6841214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.161492633	21.63976169	1.600220755	2.354462157	636.6214926	636.9040356	0.000666386	0.368495888	57.25517726	0.00098935	1	4.161492633	636.6214926	636.9040356			0	0	0	0	0.368495888	Subcritical	0.000666386
206	204.997	616379.781	3097691.006	632.4595	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4557493	635.6836214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.162372544	21.64433723	1.600350845	2.353964433	636.6218725	636.904296	0.000666032	0.368379046	57.2716353	0.000997861	1	4.162372544	636.6218725	636.904296			0	0	0	0	0.368379046	Subcritical	0.000666032
207	205.997	616378.782	3097690.959	632.459	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4552493	635.6831214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.163262205	21.64896346	1.600482342	2.353461406	636.6222622	636.904565	0.000665675	0.368260972	57.28828093	0.000868561	1	4.163262205	636.6222622	636.904565			0	0	0	0	0.368260972	Subcritical	0.000665675
208	206.997	616377.783	3097690.911	632.4585	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4547493	635.6826214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.164009328	21.65284851	1.600592744	2.353039139	636.6225093	636.9047108	0.000665375	0.368161864	57.3022637	0.000874809	1	4.164009328	636.6225093	636.9047108			0	0	0	0	0.368161864	Subcritical	0.000665375
209	207.997	616376.784	3097690.864	632.458	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4542493	635.6821214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.164762097	21.6567629	1.600703956	2.352613834	636.6227621	636.9048616	0.000665073	0.368062052	57.31635586	0.000881157	1	4.164762097	636.6227621	636.9048616			0	0	0	0	0.368062052	Subcritical	0.000665073
